Company Name,Ticker,Exchange,Sector,Industry,Optionable,Last Close,Beta,Market Cap (mil),Month of Fiscal Yr End,P/E (Trailing 12 Months),P/E (F1),P/E (F2),F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,EPS Growth F1,EPS Growth F2,F1 PEG,F2 PEG,PEG Ratio
First Busey,BUSE,NSDQ,Finance,Banks - Midwest,YES,21.41,0.86,1183.99,12,8.6,9.44,9.92,2.45,2.27,2.16,-0.0734693877551021,-0.04845814977973563,-1.2848888888888876,-2.0471272727272747,
The Blackstone Group,BX,NYSE,Finance,Financial - Miscellaneous Services,YES,104.39,1.49,73708.19,12,22.74,24.87,17.29,5.06,4.2,6.04,-0.1699604743083003,0.43809523809523804,-1.463281395348838,0.3946630434782609,1.86
Blackstone Mortgage Trust,BXMT,NYSE,Finance,REIT and Equity Trust,YES,22.29,1.36,3840.26,12,7.33,7.86,7.96,2.72,2.84,2.8,0.0441176470588234,-0.014084507042253534,1.7816000000000054,-5.651599999999995,
Boston Properties,BXP,NYSE,Finance,REIT and Equity Trust - Other,YES,60.91,1.12,9552.85,12,8.19,8.51,8.38,7.51,7.16,7.27,-0.04660452729693737,0.015363128491620031,-1.826002857142859,5.454618181818211,7.03
Blackstone Secured Lending Fund,BXSL,NYSE,Finance,Financial - SBIC & Commercial Industry,YES,27.61,0.51,4566.83,12,8.5,7.28,8.09,2.88,3.8,3.41,0.3194444444444444,-0.10263157894736834,0.22789565217391305,-0.7882564102564109,
Citigroup,C,NYSE,Finance,Banks - Major Regional,YES,46.26,1.56,90056.73,12,7.93,7.83,7.49,7.06,5.91,6.18,-0.16288951841359767,0.04568527918781719,-0.4806939130434784,1.6394777777777805,1.76
Credit Acceptance,CACC,NSDQ,Finance,Financial - Consumer Loans,YES,553.65,1.33,7107.47,12,17.51,16.18,13.25,36.61,34.22,41.8,-0.06528270964217428,0.2215078901227352,-2.4784510460251044,0.5981728232189975,
Cadence Bank,CADE,NYSE,Finance,Banks - Southeast,YES,21.04,0.98,2285.25,12,7.08,7.93,8.1,2.91,2.65,2.6,-0.08934707903780076,-0.01886792452830182,-0.8875499999999993,-4.293000000000015,
"Pathward Financial, Inc.",CASH,NSDQ,Finance,Banks - Northeast,YES,53.29,0.78,1434.19,9,10.74,9.35,8.1,4.29,5.7,6.57,0.3286713286713287,0.15263157894736842,0.28447872340425534,0.5306896551724137,
Cathay General Bancorp,CATY,NSDQ,Finance,Banks - West,YES,34.17,1.15,2478.54,12,6.6,7.21,7.36,4.9,4.74,4.64,-0.03265306122448982,-0.02109704641350222,-2.2080624999999983,-3.488639999999982,
Chubb Limited,CB,NYSE,Finance,Insurance - Property and Casualty,YES,191.67,0.65,79384.83,12,12.11,10.91,9.81,15.41,17.57,19.54,0.1401687216093446,0.11212293682413198,0.7783476851851852,0.8749324873096453,1.09
Cboe Global Markets,CBOE,AMEX,Finance,Securities and Exchanges,YES,141.03,0.51,14889.17,12,19.83,19.57,18.89,6.91,7.21,7.47,0.04341534008683065,0.03606102635228846,4.507623333333337,5.238342307692312,
CBRE Group,CBRE,NYSE,Finance,Real Estate - Operations,YES,88.14,1.36,27396.76,12,16.92,18.32,14.94,5.54,4.81,5.9,-0.13176895306859213,0.2266112266112268,-1.3903123287671226,0.6592788990825683,
Commerce Bancshares,CBSH,NSDQ,Finance,Banks - Midwest,YES,49.54,0.74,6178.52,12,12.78,13.58,14.34,3.85,3.65,3.45,-0.05194805194805199,-0.05479452054794513,-2.6141499999999978,-2.6170500000000034,
Community Bank System,CBU,NYSE,Finance,Banks - Northeast,YES,46.31,0.58,2488.18,12,12.97,13.73,14.04,3.52,3.37,3.3,-0.04261363636363634,-0.02077151335311581,-3.2219733333333354,-6.759257142857115,
CCC Intelligent Solutions,CCCS,NSDQ,Finance,Insurance - Property and Casualty,YES,11.09,0.72,6968.0,12,41.07,36.48,32.43,0.28,0.3,0.34,0.07142857142857129,0.13333333333333347,5.10720000000001,2.4322499999999976,
Crown Castle Inc.,CCI,NYSE,Finance,REIT and Equity Trust - Other,YES,109.99,0.64,47699.5,12,14.84,14.41,14.73,7.36,7.64,7.47,0.03804347826086948,-0.022251308900523552,3.7877714285714372,-6.619835294117649,
Citizens Financial Group,CFG,NYSE,Finance,Financial - Savings and Loan,YES,28.08,1.31,13590.39,12,5.99,6.86,7.17,4.14,4.09,3.92,-0.012077294685990296,-0.0415647921760391,-5.68008000000002,-1.7250176470588243,
Cullen/Frost Bankers,CFR,NYSE,Finance,Banks - Southwest,YES,110.13,1.05,7092.22,12,11.0,11.42,12.33,8.68,9.64,8.93,0.11059907834101393,-0.07365145228215776,1.0325583333333324,-1.6741014084507022,1.2
Carlyle Group,CG,NSDQ,Finance,Financial - Investment Funds,YES,34.06,1.69,12333.63,12,8.05,12.55,8.7,4.29,2.71,3.91,-0.3682983682983683,0.4428044280442805,-0.34075632911392406,0.19647499999999996,
City Holding,CHCO,NSDQ,Finance,Banks - Southeast,YES,93.08,0.55,1403.45,12,12.54,13.18,13.66,6.64,7.06,6.81,0.06325301204819277,-0.03541076487252125,2.0836952380952383,-3.857584,
Cigna Group,CI,NYSE,Finance,Insurance - Multi line,YES,281.16,0.65,83187.44,12,12.42,11.33,9.94,23.15,24.81,28.3,0.07170626349892009,0.14066908504635237,1.5800572289156625,0.7066229226361027,1.02
Colliers International Group,CIGI,NSDQ,Finance,Real Estate - Operations,YES,105.84,1.48,4853.15,12,16.49,15.09,13.02,7.01,7.01,8.13,0.0,0.1597717546362341,inf,0.8149124999999992,
Chimera Investment,CIM,NYSE,Finance,REIT and Equity Trust,YES,5.78,1.57,1341.52,12,7.05,9.48,6.96,1.22,0.61,0.83,-0.5,0.360655737704918,-0.18960000000000002,0.19298181818181823,
Cincinnati Financial,CINF,NSDQ,Finance,Insurance - Property and Casualty,YES,98.36,0.61,15463.44,12,27.78,22.0,16.91,4.21,4.47,5.82,0.06175771971496432,0.30201342281879207,3.5623076923076953,0.5599088888888887,1.29
Columbia Financial,CLBK,NSDQ,Finance,Financial - Miscellaneous Services,YES,18.05,0.21,1909.86,12,21.49,33.43,29.59,0.84,0.54,0.61,-0.3571428571428571,0.12962962962962954,-0.9360400000000002,2.2826571428571443,
Canadian Imperial Bank of Commerce,CM,NYSE,Finance,Banks - Foreign,YES,43.25,1.01,39706.7,10,8.29,8.45,8.39,5.51,5.12,5.16,-0.07078039927404713,0.007812500000000007,-1.1938333333333342,10.739199999999991,1.69
Comerica,CMA,NYSE,Finance,Banks - Major Regional,YES,48.06,1.19,6328.05,12,5.06,6.17,6.95,8.47,7.79,6.91,-0.08028335301062581,-0.11296534017971757,-0.7685279411764698,-0.6152329545454547,1.44
CME Group,CME,NSDQ,Finance,Securities and Exchanges,YES,185.25,0.41,66637.7,12,22.35,20.83,20.72,7.95,8.89,8.94,0.11823899371069187,0.00562429696287952,1.761686170212765,36.84016000000078,3.89
CNA Financial,CNA,NYSE,Finance,Insurance - Property and Casualty,YES,38.03,0.65,10300.59,12,9.8,8.88,8.6,3.67,4.28,4.42,0.1662125340599456,0.032710280373831696,0.5342557377049179,2.629142857142863,1.78
CNO Financial Group,CNO,NYSE,Finance,Insurance - Multi line,YES,24.47,1.14,2803.12,12,10.15,8.82,8.2,2.32,2.78,2.98,0.19827586206896552,0.07194244604316553,0.4448347826086957,1.1397999999999988,
Compass Diversified Holdings,CODI,NYSE,Finance,Financial - Investment Funds,YES,22.75,1.74,1636.81,12,15.69,12.69,10.32,2.13,1.79,2.2,-0.15962441314553985,0.229050279329609,-0.7949911764705885,0.4505560975609755,
Capital One Financial,COF,NYSE,Finance,Financial - Consumer Loans,YES,113.43,1.45,43308.28,12,7.94,9.6,8.09,18.65,11.82,14.01,-0.3662198391420911,0.18527918781725883,-0.26213762811127383,0.4366383561643837,1.58
Columbia Banking System,COLB,NSDQ,Finance,Banks - West,YES,22.05,0.66,4596.5,12,7.25,6.41,5.67,3.36,3.44,3.89,0.023809523809523832,0.13081395348837216,2.6921999999999975,0.43343999999999977,
Americold Realty Trust,COLD,NYSE,Finance,REIT and Equity Trust - Other,YES,32.59,0.53,8804.65,12,28.59,26.99,23.03,1.11,1.21,1.41,0.09009009009008996,0.16528925619834708,2.9958900000000037,1.3933150000000003,2.83
Mr. Cooper Group,COOP,NSDQ,Finance,Financial - Consumer Loans,YES,52.81,1.56,3593.9,12,19.0,9.98,7.71,2.47,5.29,6.85,1.1417004048582995,0.2948960302457466,0.08741347517730498,0.261448076923077,
Camden Property Trust,CPT,NYSE,Finance,REIT and Equity Trust - Residential,YES,110.75,0.79,11823.9,12,16.43,16.13,15.46,6.61,6.86,7.16,0.037821482602118,0.04373177842565595,4.264772,3.53518666666667,5.89
"Corebridge Financial, Inc.",CRBG,NYSE,Finance,Insurance - Multi line,YES,18.78,,12172.16,12,,4.63,3.76,2.7,4.06,5.0,0.5037037037037034,0.23152709359605922,0.09191911764705887,0.1623999999999999,0.2
CareTrust REIT,CTRE,NYSE,Finance,REIT and Equity Trust - Other,YES,20.17,1.1,2006.41,12,13.72,13.88,12.71,1.49,1.45,1.59,-0.02684563758389264,0.09655172413793112,-5.170299999999996,1.316392857142856,
